StEWI,flowbyfac_fields,facility_fields,2014,2016,2018,2019,2020,2021,2022,2023,2024
State,,1.0,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation,Plant state abbreviation
FacilityName,,1.0,Plant name,Plant name,Plant name,Plant name,Plant name,Plant name,Plant name,Plant name,Plant name
Plant operator name,,1.0,Plant operator name,Plant operator name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name,Plant transmission or distribution system owner name
FacilityID,1.0,1.0,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code,DOE/EIA ORIS plant or facility code
Heat,1.0,,Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (MMBtu),Plant total annual heat input (GJ)
Electricity,1.0,,Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh),Plant annual net generation (MWh)
Steam,1.0,,CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (MMBtu),CHP plant useful thermal output (GJ)
Nitrogen oxides,1.0,,Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (tons),Plant annual NOx emissions (metric tons)
Sulfur dioxide,1.0,,Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (tons),Plant annual SO2 emissions (metric tons)
Carbon dioxide,1.0,,Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (tons),Plant annual CO2 emissions (metric tons)
